Code,Area_name,Population_density_(per_hectare)_2017,Modelled_Household_median_income_estimates_2012/13,Crime_rates_per_thousand_population_2014/15,"Average_Public_Transport_Accessibility_score,_2014",Life_satisfaction_score_2011-14_(out_of_10),Worthwhileness_score_2011-14_(out_of_10),Happiness_score_2011-14_(out_of_10),Anxiety_score_2011-14_(out_of_10)
E09000001,City of London,30.3,"£63,620",.,7.9,6.6,7.1,6,5.6
E09000002,Barking and Dagenham,57.9,"£29,420",83.4,3,7.1,7.6,7.1,3.1
E09000003,Barnet,44.9,"£40,530",62.7,3,7.5,7.8,7.4,2.8
E09000004,Bexley,40.3,"£36,990",51.8,2.6,7.4,7.7,7.2,3.3
E09000005,Brent,76.8,"£32,140",78.8,3.7,7.3,7.4,7.2,2.9
E09000006,Bromley,21.8,"£43,060",64.1,2.8,7.5,7.9,7.4,3.3
E09000007,Camden,111.3,"£43,750",123.5,5.7,7.1,7.4,7.1,3.6
E09000008,Croydon,44.7,"£37,000",77,3.2,7.1,7.6,7.2,3.3
E09000009,Ealing,63.3,"£36,070",75.5,3.3,7.3,7.6,7.3,3.6
E09000010,Enfield,41.2,"£33,110",69.4,3,7.3,7.6,7.3,2.6
E09000011,Greenwich,59.2,"£35,350",79.4,3.4,7.2,7.6,7.2,3.4
E09000012,Hackney,144,"£35,140",99.6,4.9,7,7.3,7,3.8
E09000013,Hammersmith and Fulham,113,"£43,820",113.2,4.7,7.4,7.5,7.2,3.1
E09000014,Haringey,93.9,"£35,420",90.2,4.3,7.2,7.5,7.2,3.2
E09000015,Harrow,50,"£38,880",50.4,2.9,7.3,7.4,7.3,2.7
E09000016,Havering,22.6,"£36,670",62.9,2.5,7.4,7.7,7.2,3.3
E09000017,Hillingdon,26,"£37,040",76.6,2.4,7.4,7.7,7.3,3.5
E09000018,Hounslow,49,"£35,330",79.2,3,7.3,7.6,7.4,3.4
E09000019,Islington,155.6,"£39,790",121.2,5.7,7.2,7.4,7.1,3.7
E09000020,Kensington and Chelsea,131.1,"£55,620",120.9,5.8,7.6,7.8,7.6,3.1
E09000021,Kingston upon Thames,47.1,"£43,940",58.5,2.9,7.3,7.7,7.4,3.3
E09000022,Lambeth,122.7,"£38,490",104.6,5,7.1,7.5,7.2,3.5
E09000023,Lewisham,86.3,"£35,900",77,4.1,7.2,7.6,7.3,3.4
E09000024,Merton,55.3,"£41,960",59.7,3.4,7.3,7.5,7.1,3.6
E09000025,Newham,94.7,"£28,780",90.8,3.9,7.1,7.4,7.2,3.4
E09000026,Redbridge,53.9,"£36,860",69.7,3,7.3,7.6,7.3,3.2
E09000027,Richmond upon Thames,34.4,"£53,470",56.3,3.1,7.5,7.8,7.3,3.2
E09000028,Southwark,108.9,"£37,100",100.6,4.9,7.5,7.7,7.3,3.4
E09000029,Sutton,46.2,"£39,940",55.9,2.9,7.5,7.7,7.3,3.2
E09000030,Tower Hamlets,153.7,"£34,930",99.9,5,7.2,7.4,7.2,3.3
E09000031,Waltham Forest,71.2,"£33,080",78,3.6,7.2,7.5,7.1,3.1
E09000032,Wandsworth,93.7,"£47,480",72.6,4.3,7.4,7.6,7.4,3.6
E09000033,Westminster,112.7,"£47,510",212.4,6.5,7.3,7.5,7.1,3.4
